text,news_link,label,outlet,topic,type,label_opinion,biased_words,uuid,text_length
"Although he didn’t seem to direct his comments at anyone in particular, many celebrities that consider themselves climate change activists have not adjusted their lifestyles of taking private jets to their engagements around the globe, for example, Leonardo DiCaprio, Katy Perry and Orlando Bloom all took heat in 2019 when they were among the A-listers to attend Google’s climate change conference by way of private jets and mega yachts.",https://www.foxnews.com/entertainment/golden-globe-joaquin-phoenix-hollywood-climate-activists-private-jets,1,Fox News,environment,0,Somewhat factual but also opinionated,[],EmNEZdHfn3htUixEd33teB,69
The El Paso attack has also put new pressure on a man some white nationalists praise as helping advance their movement: Donald Trump.,https://www.reuters.com/article/us-usa-white-nationalism-insight/el-paso-massacre-upends-white-nationalists-normalization-strategy-idUSKCN1UY2B5,1,Reuters,white-nationalism,2,No agreement,[],V2pg32uX5kuTxhCPVzayak,23
"This kind of over-the-top misogyny is, not surprisingly, being accompanied by an absolute barrage of violent fantasies from the gun lovers who plan to descend on Richmond on Monday.",https://www.alternet.org/2020/01/state-of-emergency-tensions-rise-in-virginia-as-right-wing-gun-fanatics-descend/,1,Alternet,gun control,1,Expresses writer’s opinion,"['gun', 'lovers', 'not', 'surprisingly', 'fantasies']",Ht4CHqjBVuWSfpHJA28YKe,29
"The demonstrators stopped in the center of town and took a knee to honor George Floyd, who was killed in the custody of police in Minneapolis, Minnesota, on Memorial Day.",http://feedproxy.google.com/~r/breitbart/~3/Mtnbb0P1Yr4/,0,Breitbart,black lives matter,0,Entirely factual,[],Mab8gUShhsVMj5Qe2vwbZs,30
"Next came the sob stories. Those student loans are suffocating a generation, the candidates suggested. After all, “40 million of us who can’t start a family,” the diaper-changing daddy Swalwell contradictorily proclaimed, adding that they “Can’t take a good idea and start a business and can’t buy our first home.”",https://thefederalist.com/2019/08/15/student-debt-willingly-took-not-problem-solve/,1,Federalist,student-debt,0,Expresses writer’s opinion,"['diaper-changing', 'sob', 'stories', 'daddy']",Pz5wutVxPNYLoascpkkmTn,50
"Protesters in New Zealand’s Auckland city sat on the road after their peaceful march as they raised clenched fists in a sign of unity, solidarity and Black Power.",https://www.reuters.com/article/us-minneapolis-police-protests-newzealan/new-zealanders-protest-over-death-of-george-floyd-idUSKBN2381H6,0,Reuters,black lives matter,2,Entirely factual,[],saLVcEmDSjW9YQmPs8dano,28
"Senior White House officials are discussing the possibility of a temporary payroll tax cut in an effort to boost the economy in the face of a potential slowdown, the Washington Post reported on Monday, citing three people familiar with the discussions.",https://www.reuters.com/article/us-usa-economy-tax/senior-white-house-officials-eye-tax-cut-to-avert-slowdown-washington-post-idUSKCN1V91VW,0,Reuters,taxes,2,Entirely factual,[],9KszXqTqzHWBK4ZhkP7JAC,41
"How do we deal with the false perception that liberals are more inclined to trust science than conservatives? Or, how do we approach the media’s fondness for focusing on the unscientific views of some conservatives but ignoring the irrational—and oftentimes, more consequential—beliefs of their fellow liberals?",https://thefederalist.com/2015/02/04/five-ways-liberals-ignore-science/,1,Federalist,vaccines,0,Expresses writer’s opinion,[],te2nNfbneisrLWxaJmtNMj,46
It matters that figures like Marsha Blackburn are trying to smear a decorated American war hero. It also matters why she's engaged in such a toxic scheme.,https://www.msnbc.com/rachel-maddow-show/why-republicans-are-taking-aim-war-hero-defend-trump-n1123626,1,MSNBC,white-nationalism,1,Expresses writer’s opinion,"['toxic', 'scheme', 'smear']",fthXXoBJcUKLFbEcobrWTm,27
"In Spain, hundreds of thousands of women, wearing purple and raising their fists, took to the streets of cities around the country calling for greater gender equality.",https://www.reuters.com/article/us-womens-day/gender-equality-rights-on-agenda-on-international-womens-day-idUSKCN1QP18R?feedType=RSS&feedName=topNews,0,Reuters,gender,2,Entirely factual,[],nweMgvgFJ936pK7ZPMAVsf,27
"But she couldn’t shake criticism that she was an outsider compared to Leger Fernandez, who has served as counsel to several Native American tribes in the northern New Mexico district and had the backing of the Congressional Hispanic Caucus.",https://www.reuters.com/article/us-usa-election-new-mexico/ex-spy-plame-loses-bid-for-house-of-representatives-idUSKBN23A31D,0,Reuters,elections-2020,2,Entirely factual,[],LfMQ8tqCLLY3eAW6vgB2fv,39
"""Orange Is the New Black"" star Yael Stone is renouncing her U.S. green card to return to her native Australia in order to fight climate change.",https://www.foxnews.com/entertainment/australian-actress-yael-stone-giving-up-green-card-fight-climate-change,0,Fox News,environment,0,Entirely factual,[],aeoLFBrFntWeFAJorp85f6,26
"In an apparent attempt to blame sexism for the blowback the Rashida Tlaib received for her ""Impeach the Motherf*cker"" remark, Pelosi wondered aloud what the response would have been if a man made the same comment. ",https://www.breitbart.com/politics/2019/01/04/pelosi-backlash-to-rashida-tlaibs-impeach-the-motherfcker-cry-is-sexist/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,gender,0,Somewhat factual but also opinionated,"['blame', 'blowback', 'apparent', 'attempt']",theJJG7fbzBjP6zq78H3ER,36
The moment was yet another headache for Biden as he struggles to appeal to gun owners. ,https://www.foxnews.com/politics/biden-rally-texas-buttigieg-klobuchar-endorsement?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20foxnews%2Fpolitics%20%28Internal%20-%20Politics%20-%20Text%29,1,Federalist,gun-control,0,Somewhat factual but also opinionated,"['headache', 'struggles']",zKFDdL4qbaVrLaDfTLEJFE,16
"The dynamic exposes two underappreciated realities of Trump’s Iran obsession: Any U.S. war on Iran will ignite war in Iraq, and U.S. credibility is visibly faltering across the region. ",https://www.alternet.org/2019/08/how-secret-israeli-attacks-in-iraq-are-driving-trumps-anti-iran-campaign/,1,Alternet,international-politics-and-world-news,1,Expresses writer’s opinion,['obsession'],EyYSkqN7c2uaZhdC8hRVGR,29
"Meanwhile, Thunberg first made headlines when her Fridays for Future campaign went global in the last few months. At a U.N. climate conference in September, she repeatedly scolded world leaders, asking, “How dare you?”",https://www.foxnews.com/entertainment/leonardo-dicaprio-greta-thunberg-leader-of-our-time,0,Fox News,environment,0,Entirely factual,[],wH73UpnVQfLc74wsN2jh8i,34
"It’s only a matter of time, the argument goes, before the Roe v. Wade precedent is struck down at the hands of five conservative justices, two of whom are on the high court thanks to Trump.",,1,MSNBC,abortion,1,Expresses writer’s opinion,"['struck', 'down']",pAh8s6S8AWNE3iyj8fwD4L,36
"A report by the United Nations (UN) falsely blamed President Trump for the detention of 100,000 migrant children who, in fact, were held in federal immigration custody in 2015 by President Obama.",https://www.breitbart.com/politics/2019/11/19/united-nations-falsely-blames-trump-for-obama-detaining-100k-migrant-children-in-2015/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,immigration,0,Entirely factual,[],vwPLopXpcnagt594Mzjhm2,32
"In a series of early morning tweets on July 26, 2017, that reportedly took the Department of Defense by surprise, President Donald Trump announced that he was reinstating the repealed ban on transgender military service.",https://www.nbcnews.com/feature/nbc-out/very-lgbtq-decade-gay-marriage-trans-rights-rainbow-wave-n1107901?icid=related,0,MSNBC,gender,1,Entirely factual,[],AJTBKzQpLnTbsd4qp6v6Zc,35
"The Turkmen government also published photos of contact sporting events such as wrestling and martial arts, which most of the world has canceled to prevent the spread of the deadly pathogen originating in central Wuhan, China.",https://www.breitbart.com/asia/2020/04/08/turkmenistan-celebrates-world-health-day-thousands-strong-cycling-event/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,sport,0,Somewhat factual but also opinionated,['deadly'],R7pYVc9TFNJnRy84uddP2S,36
"Some party leaders, including House Speaker Nancy Pelosi, have warned that the focus on Medicare for All could cost Democrats with swing voters next year.",https://www.reuters.com/article/us-usa-election-debate-healthcare/healthcare-tangles-in-democratic-white-house-race-could-carry-risk-in-2020-polls-show-idUSKBN1XU16M?feedType=RSS&feedName=topNews,0,Reuters,universal health care,2,Entirely factual,[],WsscU4jWtdoMtuJxEDdzc7,25
"Visiting West Indies skipper Jason Holder has said it would be a team decision for them whether to protest the death of George Floyd, an unarmed black man who died in Minneapolis last month after a white police officer knelt on his neck for almost nine minutes.",https://www.reuters.com/article/uk-minneapolis-police-cricket-anderson-idUKKBN23J0KN?taid=5ee31a87cc071f00018dbfe2&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter,0,Reuters,black lives matter,2,Entirely factual,[],sPSjoBtau5G8dtUgzg7BnG,47
"Republicans should stop fighting amnesty, President Obama said on Thursday, because one day a Hispanic will become president.",https://www.breitbart.com/politics/2015/02/26/obama-to-amnesty-beneficiaries-theres-going-to-be-a-president-rodriguez-someday/,0,Breitbart,student-debt,0,Entirely factual,[],Pp2S4eoWnrY5VjQMpzUDbU,18
"Many monuments of historical figures have been boarded up as anti-racism protesters taking to the streets following the death of African-American George Floyd, have put statues at the forefront of their challenge to Britain’s imperialist past.",https://www.reuters.com/article/us-minneapolis-police-protests-britain-s/uk-pm-johnson-defends-churchill-criticises-distortion-of-our-history-telegraph-idUSKBN23L0Z7,0,Reuters,black lives matter,2,Entirely factual,[],w3T8fsDo46j4MpH3YdArRd,36
"The Trump administration may no longer enforce a rule requiring individual Americans to carry health insurance or pay a penalty if they do not, a senior White House official said on Sunday",https://www.reuters.com/article/us-usa-obamacare-idUSKBN1560SX,0,Reuters,universal health care,2,Entirely factual,[],kBBLmkYWscgHPBeAFZNPmd,32
"Instagram will start blocking any hashtags spreading misinformation about vaccines, becoming the latest internet platform to crack down on bad health information.",https://eu.usatoday.com/story/tech/news/2019/05/09/instagram-hashtags-vaccine-misinformation-soon-get-blocked/1154046001/,0,USA Today,vaccines,2,Entirely factual,[],di87GWgA9dghAQ3ZxgZxGZ,22
Edwards’ allies are pushing a narrative that supporting Rispone is akin to being a racist like infamous white supremacist David Duke.,https://www.breitbart.com/politics/2019/11/05/democrats-deploy-race-card-in-louisiana-governor-race/,1,Breitbart,white-nationalism,0,Somewhat factual but also opinionated,['infamous'],jszwUs9zvnVUp2V7ug6Bbs,21
"Equally important, he notes, is that it is difficult for incumbents to distance themselves from Trump over fears he will turn his base against them — meaning they are in a trap of their own making.",https://www.alternet.org/2020/06/awful-news-for-republican-senate-candidates-odds-of-gop-holding-senate-collapsing-over-support-for-trump/,1,Alternet,elections-2020,1,Somewhat factual but also opinionated,[],KVeTQcpKsaF4foGjJRiF3F,36
"The spectacular rise of human civilization that took place during the last 10,000 years now appears to be coming to an end with the refusal of our species to significantly curb the carbon emissions and pollutants that might cause human extinction.",https://www.alternet.org/2019/04/a-professor-of-astrophysics-explains-why-humans-are-on-the-path-to-self-destruction-not-the-first-time-theres-been-a-civilization-in-the-universe/,1,Alternet,environment,1,No agreement,['extinction'],DKB7AtT42Qjge6U2dCBmc3,41
"A Supreme Court filing lays bare the deep chasm between prominent Republicans who believe in the rule of law and wannabe president for life Donald Trump, whose says he enjoys absolute immunity from any inquiry into his conduct.",https://www.alternet.org/2020/03/prominent-republicans-mock-trumps-legal-claims-in-supreme-court-brief-and-blow-up-presidents-absolute-immunity-claim/,1,Alternet,taxes,1,No agreement,['wannabe'],4JxqSUSBWhj7XdZuVGkYdD,38
And if Bezos imagines that this act of blatant greenwashing will do anything either to save the planet or make the world a better place than he is living in cloud cuckoo land.,http://feedproxy.google.com/~r/breitbart/~3/IEXwhuO5lrc/,1,Breitbart,taxes,0,Expresses writer’s opinion,"['blatant', 'cloud', 'cuckoo', 'land', 'living', 'in']",ghxtbhHu2XgyjPh7AjTaBp,33
"New York Attorney General Letitia James said in her complaint, filed in Manhattan federal court earlier this month, that “PHEAA’s abuses have not only denied these dedicated public servants the benefits they have earned, but have undermined the goals of the loan forgiveness program.”",https://www.huffpost.com/entry/public-service-loan-forgiveness-program-senators-cfpb-investigation_n_5db945d6e4b066da55291b4b,0,HuffPost,student-debt,1,Entirely factual,[],bKuKJMwbArZ2vLCsh5KVQY,44
"Even the European Union (with the Maastricht Treaty in 1993) has adopted the radical economic and political ideologies of Thatcherism and Reaganism—neoliberalism—that benefitted wealthy elites while forcing austerity on its poorer member nations, inflicting massive pain and inciting right-wing movements in Greece, Spain and Italy, among others.",https://www.alternet.org/2019/10/ronald-reagan-launched-an-attack-on-the-middle-class-we-must-reverse-it-to-save-our-democracy/,1,Alternet,middle-class,1,No agreement,"['radical', 'massive']",BSVZY36KosraJmteR6atwJ,47
Health and Human Services (HHS) Secretary Alex Azar announced during a White House press conference on Friday that the Trump administration will end surprise billing for Americans without health insurance.,http://feedproxy.google.com/~r/breitbart/~3/CnqMzp3KFCQ/,0,Breitbart,universal health care,0,Entirely factual,[],AuzfvovNcwKixpGWGr8bxj,30
The Affordable Care Act’s (ACA) “risk adjustment” program is intended to incentivize health insurers to cover individuals with pre-existing and chronic conditions by collecting money from insurers with relatively healthy enrollees to offset the costs of other insurers with sicker ones.,https://in.reuters.com/article/usa-healthcare-obamacare/insurers-warn-of-rising-premiums-after-trump-axes-obamacare-payments-again-idINKBN1JY0QY,0,Reuters,universal health care,2,Entirely factual,[],dDyXWUEQcH6CKk8FFiu3zm,41
"Once powerful Hollywood producer Harvey Weinstein was charged in Los Angeles on Monday on sex crime charges just hours after he appeared in a New York court for the start of his rape trial, which has become a focal point for the #MeToo movement.",https://www.reuters.com/article/us-people-harvey-weinstein/in-metoo-landmark-moment-harvey-weinstein-faces-rape-trial-in-new-york-idUSKBN1Z50II?feedType=RSS&feedName=peopleNews,0,Reuters,#metoo,2,Entirely factual,[],nGiumRvYZnW46urVsAVJbU,44
The player vote ending Thursday at midnight—a simple majority vote will determine the outcome of the NFL CBA—is a monumental referendum for the next decade of the NFL.,https://profootballtalk.nbcsports.com/2020/03/09/nfl-cba-nflpla-vote-fmia-peter-king/?cid=eref:nbcnews:text?cid=public-rss_20200310,0,MSNBC,sport,1,Entirely factual,[],k57Czwuj87pL7iFtbyacBW,28
"For our friends on the Left, Trump’s refusal to wear a mask is irresponsible toxic masculinity that is sending the wrong message and getting people killed, even though Dr. Deborah Brix has explained it’s not much of a risk. Biden, meanwhile, to their minds is leading by example by wearing his mask even when there is no good reason he should.",https://thefederalist.com/2020/05/26/the-mask-is-now-the-political-symbol-of-2020/,1,Federalist,elections-2020,0,Expresses writer’s opinion,"['irresponsible', 'toxic', 'masculinity', 'friends', 'the', 'left']",jjVoFL9Qzti8gQG32afJA8,61
"But rather than appreciate the fact that Asian-American women are considered highly attractive, Lim sees only a sneaking racial bias, a reflection of our upside-down cultural world where victimhood and oppression carry more social currency than even beauty and success.",https://thefederalist.com/2018/01/12/new-york-times-needs-get-white-supremacy-fetish/,1,Federalist,white-nationalism,0,Somewhat factual but also opinionated,['victimhood'],Z4mgvy87cxXUBKef3BuWsz,40
"The Republican-led Legislature and GOP Gov. Bill Lee have dismissed the idea of offering absentee ballots to all voters, with lawmakers voting against Democratic expansion proposals more than once this week as they meet during pandemic times.",https://www.huffpost.com/entry/tennessee-vote-by-mail-ruling_n_5ed9ffb4c5b6bc618d781a52,0,HuffPost,elections-2020,1,Entirely factual,[],mvSyQkn2YGtp8gvSEDqDyX,37
"He has been critical of illegal aliens, but not immigrants in general. Weaver nonetheless implies Trump is somehow responsible.",https://www.breitbart.com/2020-election/2019/08/06/bernie-sanders-campaign-dont-blame-us-for-dayton-blame-trump-for-el-paso/,1,Breitbart,white-nationalism,0,Somewhat factual but also opinionated,"['illegal', 'aliens']",RACbPbse295uPfwaWFuV4J,19
"People were tear-gassed, manhandled, shoved, battered with clubs and slammed with shields on Monday to clear the way for Trump to cross the street from the White House for a photo op at St. John’s Episcopal Church. The onslaught against the protesters began 25 minutes before a 7 p.m. curfew. ",https://www.huffpost.com/entry/pentagon-trump-washington-dc-national-guard-protest_n_5edc244fc5b6dcf35913b20e,1,HuffPost,trump-presidency,1,Somewhat factual but also opinionated,"['tear-gassed', 'manhandled', 'shoved', 'battered', 'onslaught', 'with']",YSJtZuwfuSeZuig9paqZKf,50
"The president has called for a tough response to the protests in order to ""dominate the streets"" and has threatened to call in active-duty troops to quell unrest in cities where local authorities were unable to do so. ",https://eu.usatoday.com/story/news/politics/2020/06/07/trump-orders-national-guard-leave-washington-dc/3170144001/,0,USA Today,trump-presidency,2,Somewhat factual but also opinionated,['quell'],mu3mbtLy2vgG6wkUxTTq5k,38
Here’s why the fear of medical bankruptcy could make the spread of coronavirus even worse in the US,https://www.alternet.org/2020/02/heres-why-the-fear-of-medical-bankruptcy-could-make-the-spread-of-coronavirus-even-worse-in-the-us/,1,Alternet,universal health care,1,No agreement,['bankruptcy'],z78ge7B6pEA4wtLgdRdAm4,18
"Trump may not be much of a stable genius, but he doesn't need to be the brightest bulb on the KKK Christmas tree to be a racist troll.",https://www.alternet.org/2020/06/trump-thinks-white-supremacist-trolling-is-his-path-to-re-election/,1,Alternet,black lives matter,1,Expresses writer’s opinion,"['racist', 'brightest', 'bulb', 'troll']",QzPP5mjzushZm67c4YtGSr,28
"Matters worsened for him when COVID-19 hit the United States and exposed him not just as a divisive buffoon, but a cynically incompetent one. The Administration delayed its response, worried that any action they took would hurt the stock market and erode Trump’s last remaining electoral strength.",https://www.alternet.org/2020/06/trump-thought-brutalizing-protesters-would-save-him-he-was-wrong/,1,Alternet,elections-2020,1,Somewhat factual but also opinionated,"['buffoon', 'divisive', 'cynically', 'incompetent']",rAWTFvekBxDJw3wdwhTvJj,47
A Trump-loving white security guard with a racist past shot and killed an unarmed Black man during an unprovoked hotel parking lot attack.,https://www.alternet.org/2020/06/trump-loving-security-guard-who-gunned-down-a-black-man-in-tulsa-had-history-of-racism-report/,1,Alternet,black lives matter,1,Somewhat factual but also opinionated,"['racist', 'Trump-loving']",r2WrzrbJbdgdjeuKMpXNi7,23
A report in The New York Times claims that the UFC star Conor McGregor sexually assaulted a woman in Ireland.,https://www.huffpost.com/entry/ufc-conor-mcgregor-sexual-assault-investigation_n_5c9a7124e4b072a7f6008ff5,1,HuffPost,sport,1,Entirely factual,['claims'],7sk8H29DA3vmeHHR8R8w7b,20
"According to a Washington Post analysis updated on Monday, half of people killed by police are white, but Black Americans are shot at a disproportionate rate. ",https://www.reuters.com/article/us-global-race-trump/trump-downplays-police-violence-against-black-people-says-more-white-people-killed-idUSKCN24F2WQ,0,Reuters,black lives matter,2,Entirely factual,[],KDPx4ckjKWoCVXVuSVyuBY,26
"Several dozen demonstrators, many armed and carrying Confederate battle flags, staged a rally in the Atlanta suburb of Stone Mountain next to a park famed for its giant monument to leaders of the breakaway slave-holding states.",https://www.reuters.com/article/us-global-race-protests-stone-mountain/right-wing-groups-clash-with-counter-protesters-in-several-u-s-states-idUSKCN25B117,0,Reuters,black lives matter,2,Entirely factual,[],LiV3zg36ss3xSgzjGStdfw,36
"The Republican president proceeded to pitch an aggressively anti-immigrant message ahead of Election Day 2018, when voters handed Democrats control of the House.",http://www.msnbc.com/rachel-maddow-show/part-wall-crusade-pence-turns-mlks-i-have-dream-speech,1,MSNBC,immigration,1,Somewhat factual but also opinionated,['aggressively'],YdMuNi5Unt9Vba7btqJkGQ,23
It will be a media and corporate blitzkrieg. The same machinery currently pushing Black Lives Matter ideology will be easily repurposed for the gun control blitz. ,http://feedproxy.google.com/~r/breitbart/~3/MBTkPPu9uSo/,1,Breitbart,gun control,0,Expresses writer’s opinion,"['blitzkrieg', 'gun', 'control', 'blitz']",YaeCwEj7no38hoFHGy6r9b,26
"As a result, income inequality now rivals that of the robber baron days of the early 1900s, when labor unions were virtually outlawed while corporate monopolies thrived.",https://www.alternet.org/2019/09/how-american-inequality-follows-us-to-the-grave/,1,Alternet,middle-class,1,No agreement,[],TrJepfRXvFqhwAP6kFB8vs,27
"Then the tenor changed. What started as irony turned into an actual belief that white people, specifically white men, are more dangerous and immoral than any other people.",https://thefederalist.com/2016/05/23/how-anti-white-rhetoric-is-fueling-white-nationalism/,1,Federalist,white-nationalism,0,No agreement,[],gqxcem43cjH9xPda8HMbxV,28
"More subtly, however, Pelosi is also using her gender to put Trump — who is visibly unnerved by having any woman around that isn’t clearly there to serve him, sexually or otherwise — on his heels. ",https://www.alternet.org/2019/01/how-nancy-pelosi-is-using-trumps-sexism-against-him-and-totally-owning-him/,1,Alternet,gender,1,Expresses writer’s opinion,"['on', 'his', 'heels', 'unnerved', 'serve']",ouLTtWPBjYbwBkc7t9QemB,36
"Alex Berenson, a former reporter at the New York Times who has written extensively debunking fearmongering claims related to the lockdowns wrote on Twitter Thursday that the tech giant to benefit the most from pandemic stay-home orders is refused to sell his latest book.",https://thefederalist.com/2020/06/04/amazon-bans-coronavirus-skeptics-book-but-still-sells-books-by-hitler-the-unabomber/,1,Federalist,coronavirus,0,Somewhat factual but also opinionated,"['fearmongering', 'claims']",JRBZ4FHEXENaEfJFipWYoD,44
"For some years now, conservative and libertarian education policy experts have warned against voucher systems in favor, instead, of tax-credit scholarships and education savings accounts, which are less likely to drag the regulations and mandates of government schools into the private arena.",https://www.breitbart.com/politics/2016/01/18/jeb-calls-education-a-civil-rights-issue-no-mention-of-his-support-for-common-core/,1,Breitbart,student-debt,0,Somewhat factual but also opinionated,[],ocfRG8yKgzRwiryNFtdRGo,42
Elizabeth Banks pointed out that knowing what other women and men are making in Hollywood is essential to making pay equitable across gender lines. ,https://eu.usatoday.com/story/entertainment/tv/2020/01/09/elizabeth-banks-equal-pay-fight-mrs-america/4423858002/,0,USA Today,gender,2,Entirely factual,[],dinRaAANfyrZZS8hz2cBWh,24
"As part of his plan to protect the commonwealth of Virginia from the spread of the Wuhan coronavirus, Gov. Ralph Northam determined that citizens should not be allowed to attend church or worship services, but are fine travel to an abortion clinic and undergo an elective procedure like surgical abortion.",https://thefederalist.com/2020/03/31/virginia-governor-bans-worship-but-considers-abortions-essential-during-months-long-virus-lockdown/?fbclid=IwAR1sUXV8WlHkPmRP4Szx_Lt6wmsyKxWrj6ml9FM5ENKJTjjwm87zSZ0AU2c#.Xoj74PybzSk.facebook,1,Federalist,abortion,0,Expresses writer’s opinion,"['Wuhan', 'coronavirus']",79bEZUXsmeCmpA2ss5oniJ,50
"She credited women for mobilizing against gun violence, creating the #MeToo movement against sexual harassment and discrimination, and taking back the Democratic majority in the House of Representatives.",https://www.nbcnews.com/news/us-news/women-s-march-draws-thousands-rallies-across-county-n1118416?cid=public-rss_20200119,1,MSNBC,gender,1,Entirely factual,[],Eseo3gLe4FJbom28aaC8F7,28
The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.,https://www.breitbart.com/politics/2020/03/22/democrats-block-senate-coronavirus-package/,1,Breitbart,coronavirus,0,Somewhat factual but also opinionated,['slammed'],HuM9UQkxXNby2DZUFTTSi7,12
