text,news_link,label,outlet,topic,type,label_opinion,biased_words,uuid,debiased_text,roberta_debiased_prediction,roberta_debiased_label,original_sentiment,original_sentiment_score,debiased_sentiment,debiased_sentiment_score,original_bias_label,original_bias_score,debiased_bias_label,debiased_bias_score
"Despite Portman’s insistence that she has tried to advance female directors, only one of her feature films was directed by a female.",https://www.breitbart.com/entertainment/2020/02/13/natalie-portman-admits-shes-only-made-a-few-films-with-women-after-calling-out-hollywood-sexism/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,0,Breitbart,gender,0,Entirely factual,[],ibthen93TVcdygcZTncbwk,Portman's claims about advancing women in film are not supported by facts. She had only one woman director for all her movies.,0,right,neutral,0.8327001,neutral,0.5041813,Biased,0.7286211848258972,Biased,0.9944503307342529
"Should China be the first country to develop an effective vaccine, dictator Xi Jinping has promised to provide the world with “free” coronavirus vaccines paid for by Beijing. ",https://www.breitbart.com/national-security/2020/06/30/china-tstart-injecting-soldiers-experimental-coronavirus-vaccine/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,vaccines,0,Somewhat factual but also opinionated,['dictator'],QL9M9x5phEVuCs4N6hFL7a,China is developing a COVID19 vaccine that could help save lives around the globe if it proves successful in clinical trials.,2,center,neutral,0.6490181,positive,0.9326539,Biased,0.5909836888313293,Non-biased,0.5304638743400574
"It was not stingy family leave policies that had this baby killed, it was the child’s mother, encouraged and enabled by a culture and legal regime that regard babies as a capstone consumer commodity to be ordered up when convenient, and violently disposed of when inconvenient.",https://thefederalist.com/2020/03/11/woman-who-killed-baby-over-maternity-leave-proves-welfare-wont-fix-abortion/?fbclid=IwAR2SBE3O9KtpsqJvMCIeSlk4Zeqn3oexJevVoXUhDpKszW_VHrTEMBiewaw,1,Federalist,abortion,0,Expresses writer’s opinion,"['stingy', 'capstone', 'violently']",ZzDbLppvXory5xDypmwHtK,"The death of an infant is not caused solely by insufficient maternity or paternity benefits; rather, it results from cultural norms which devalue children in favor of adult convenience.",1,left,negative,0.8661487,negative,0.9104945,Biased,0.9952282905578613,Biased,0.6702062487602234
There's a dollop of cream on top of the shit sandwich that is the Trump-backed lawsuit in front of the Supreme Court to overturn the Affordable Care Act (ACA). ,https://www.alternet.org/2020/07/of-course-theres-a-massive-tax-cut-for-the-super-rich-included-in-trumps-obamacare-lawsuit/,1,Alternet,universal health care,1,Expresses writer’s opinion,"['shit', 'sandwich']",4b3jGga7XEYnZ6tFVHQi6t,"The Trump-backed lawsuit in front of the Supreme Court to overturn the ACA has been criticized by many as being a ""dollop"" of cream on top of what some consider an unappetizing meal.",2,center,negative,0.8136951,negative,0.7482262,Non-biased,0.7077533602714539,Non-biased,0.8420782685279846
But the British Government — and this one’s Conservative; imagine what a Labour one would be like! — is so wedded to green ideology and so nervous of the well-funded anti-fracking campaign industry that it has imposed such extreme precautionary principles on shale gas exploration that the fracking industry has effectively been strangled at birth with red tape.,https://www.breitbart.com/europe/2019/02/17/britains-richest-businessman-does-a-john-galt/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,middle-class,0,Expresses writer’s opinion,"['wedded', 'strangled', 'at', 'birth', 'green', 'ideology']",CAhG5dNtfGzvWJjkMCCt7Z,The UK government (Conservatives) are imposing strict regulations for shale oil extraction due to,0,right,negative,0.74144816,neutral,0.657756,Biased,0.975519597530365,Non-biased,0.6506052017211914
Most are fleeing endemic poverty and increasing rates of gang violence.,https://www.foxnews.com/world/caravan-migrants-cross-mexico-river-throw-rocks-at-countrys-national-guard?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20foxnews%2Fworld%20%28Internal%20-%20World%20Latest%20-%20Text%29,0,Fox News,immigration,0,Entirely factual,[],GHgqyyDbXfGDvWV6WFTcHa,The majority of people who leave their home countries do so because they want a better life for themselves or their families. They may also seek refuge from war or persecution in another country.,0,right,negative,0.75043607,neutral,0.59493595,Non-biased,0.8212319612503052,Biased,0.6097427606582642
"During a speech to Young America’s Foundation’s 41st annual National Conservative Student Conference, Hawley slammed the “reigning consensus” of Washington, D.C.’s ruling class that asserts free trade and endless immigration are vital to meet the needs of corporate leaders, the business lobby, and the donor class while ignoring its impact on middle-class Americans.",https://www.breitbart.com/politics/2019/08/03/watch-josh-hawley-elite-consensus-for-open-markets-open-borders-disregards-american-middle-class/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,middle-class,0,Somewhat factual but also opinionated,"['slammed', 'endless']",h8hAiQEMvEQZjKoT2rH9Ai,"During his speech at YAF's 2023 conference,",0,right,negative,0.51772565,neutral,0.8778857,Biased,0.9881405830383301,Biased,0.7604257464408875
"Oh, and Azar put on his best hyper-partisan hat to assure America that if the Trump administration and his Republican Party succeed in convincing the Supreme Court to wipe ""Obamacare"" from the books, then for sure, this time, then present a Republican plan to ""protect those with preexisting conditions"" with new legislation that hasn't been written, that Azar would not describe, with ""exact details"" that do not yet exist.",https://feeds.feedblitz.com/~/629109976/0/alternet_all~Trump-officials-take-to-Sunday-shows-to-dodge-and-deflect-pandemic-responsibility/,1,Alternet,universal health care,1,No agreement,"['hyper-partisan', 'hat']",uUU3Tg2w43XP75puceyUXh,nan,0,right,neutral,0.56287104,neutral,0.5281885,Biased,0.9025901556015015,Non-biased,0.8726896643638611
Hawaii eyes even stricter gun laws in wake of shooting that killed 2 police officers,https://www.foxnews.com/us/hawaii-eyes-even-stricter-gun-laws-in-wake-of-shooting-that-killed-2-police-officers,0,Federalist,gun-control,0,Entirely factual,[],83YSTdGe8aoTAz8gAq6e5D,The state of Hawaii is considering tighter restrictions on firearms after two police officers were shot dead by a man who had been released from prison earlier this month.,2,center,negative,0.74196965,negative,0.6179736,Non-biased,0.6324952244758606,Non-biased,0.7468534708023071
The number of April background checks to purchase a firearm showed Americans flocking to gun stores in high numbers for the second month in a row amid worries about the coronavirus pandemic.,https://www.huffpost.com/entry/guns-background-checks-april-coronavirus_n_5eb182a7c5b6cfa72e2389d3,1,HuffPost,gun-control,1,Somewhat factual but also opinionated,['flocking'],Y25MdZ4X5Rochsq7s4YaRr,Americans are buying more guns as they worry over COVID-19.,1,left,neutral,0.5116229,negative,0.71433216,Biased,0.9869847893714905,Non-biased,0.584575355052948
"Democracy probably cannot survive, after all, if one of our two major political parties is indifferent to its fate.",https://www.alternet.org/2019/07/how-far-will-republicans-go-to-destroy-democracy/#.XSY6699P5zg.twitter,1,Alternet,gun-control,1,Expresses writer’s opinion,[],qKN3U57kDhQ8WYZqjL3Kwh,It seems that democracies can not last long when there are no interest in their preservation by both sides.,0,right,negative,0.89785856,negative,0.85617644,Non-biased,0.929260790348053,Biased,0.9941391944885254
"Despite Democrats regularly characterizing America as socially pathologized with anti-woman “sexism” and “misogyny” — where women face greater cultural, economic, political, and social adversities relative to men — Warren framed her sex as a political asset in comparison to her male competitors for the Democrats’ presidential nomination to defeat President Donald Trump in November’s general election.",https://www.breitbart.com/politics/2020/01/14/elizabeth-warren-bernie-is-my-friend-but-hes-a-sexist/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,gender,0,Somewhat factual but also opinionated,[],zSH7PXpdEFGapE3erTVzLX,"Democratic candidates frequently describe American society as being plagued by ""sexism""",0,right,negative,0.60759526,negative,0.753579,Biased,0.9896246790885925,Biased,0.9463987946510315
"Given the potential enormous risks of destabilizing the region, the Trump administration needed a strong justification for launching the strike that killed revered Iranian military leader Qassim Suleimani.",https://www.alternet.org/2020/01/mike-pompeo-admits-on-live-tv-there-was-no-threat-to-the-american-homeland-from-suleimani/#.Xg9V0uTlKA4.facebook,1,Alternet,international-politics-and-world-news,1,Somewhat factual but also opinionated,[],xzLFbZUbW5aDscJTCN8NGd,The Trump Administration's decision to kill General Qasem Soleimani was not based on sound reasoning or evidence.,1,left,negative,0.6826865,negative,0.77908343,Non-biased,0.7296384572982788,Non-biased,0.9042924046516418
"The Bezos Earth Fund may help shepherd along some new technologies, but billionaire philanthropy will not alter the regulatory structure that created the problem in the first place.",https://www.nbcnews.com/think/opinion/jeff-bezos-climate-change-philanthropy-has-quite-few-hidden-strings-ncna1143791?cid=public-rss_20200228,1,MSNBC,environment,1,Expresses writer’s opinion,[],ruXwxhaEh5Rm3PNxDCtTWd,"Billionaire philanthropies like Jeff Bezos's Earth Fund could play a role in helping bring about change for climate tech, but they won’t solve the underlying problems of our broken energy system.",1,left,neutral,0.58902276,neutral,0.43882188,Biased,0.990856945514679,Biased,0.9870166182518005
"President Donald Trump said Monday that he is looking at a possible payroll tax cut, along with other measures, to help American workers and boost the economy, which has been hit hard by the coronavirus outbreak.",https://www.nbcnews.com/politics/donald-trump/trump-proposes-payroll-tax-cut-other-measures-offset-coronavirus-economic-n1153691?cid=public-rss_20200310,0,MSNBC,middle-class,1,Entirely factual,[],XtCg3zyLTebZkBssxTcugX,The president of United States announced on Monday his intention to reduce the salary tax for employees in order to support them during this difficult time caused by COVID19 pandemic.,0,right,neutral,0.514938,neutral,0.67766035,Non-biased,0.7314632534980774,Biased,0.5583716034889221
Lots of politicians and critics across the board have attacked the Green New Deal proposed last week by freshman Democrats Rep. Alexandria Ocasio-Cortez of New York and Sen. Ed Markey of Massachusetts.,https://www.alternet.org/2019/02/the-republicans-dumbest-idea-yet/,1,Alternet,environment,1,Entirely factual,[],TjpANLmVarBzMXtzPMkiwq,Many politicians and commentators from both sides of the aisle criticized the Green New Deal proposal released last week by Representatives Alexandria Ocasio-Cortez (D-NY) and Edward J. Markey (D-MA).,0,right,negative,0.5848078,negative,0.6155234,Biased,0.5839714407920837,Non-biased,0.921683669090271
The sharp reductions documented in carbon emissions and air pollution caused by coronavirus-related lockdowns have offered a sort of preview of the kind of improvements that can be made when drastic action is taken.,https://www.nbcnews.com/science/environment/coronavirus-lockdowns-have-sent-pollution-plummeting-environmentalists-worry-about-what-n1178326?cid=public-rss_20200407,0,MSNBC,environment,1,Entirely factual,[],HbS9jdguPxyhmuV7Ttgf6W,Sharp decreases in greenhouse gas emissions and other forms of air pollutants due to COVID-19 related shut downs provide an example of what could happen if we take more aggressive measures against climate change.,1,left,neutral,0.48989946,neutral,0.5723169,Non-biased,0.6252532005310059,Biased,0.8754222989082336
"This is how Warren has pushed the boundaries of progressive policy since coming to Washington. Instead of relying on the traditional D.C. think tank world, she made her office into her very own think tank.",https://www.huffpost.com/entry/elizabeth-warren-has-a-plan-for-that_n_5d279e9ee4b0060b11e9a22e,1,HuffPost,student-debt,1,Entirely factual,[],AfuFvZXj76N5kdU3eDsm5d,This is how Warren has pushed the boundaries of progressive policy by using her position in Congress as a platform for research and advocacy. She has not relied solely on established institutions but rather created an independent body that can provide new perspectives and ideas.,0,right,neutral,0.5588724,positive,0.6414656,Biased,0.9874866008758545,Biased,0.8551477789878845
"Coach Guerrier adds that the referee’s continued mid-game scrutiny ultimately made “a spectacle” of her daughter, and that he continued to insist that something would have to be done as the child grows up and continues to compete in the sport.",https://www.alternet.org/2019/01/virginia-basketball-ref-under-investigation-for-critiquing-a-black-10-year-olds-hair-mid-game/,0,Alternet,sport,1,Entirely factual,[],HuxpSP7NfSbkMJ3YqKWbom,"The coach said that the referee's continued mid-game scrutiny ""made a spectacle"" out of his or her daughter, and that he or she had been told repeatedly by the official that something must be done about it if",1,left,neutral,0.7507692,neutral,0.6261089,Biased,0.5298790335655212,Biased,0.5310292840003967
"Former Australia Prime Minister Kevin Rudd ripped Donald Trump’s botched handling of the coronavirus pandemic in a new op-ed, describing the U.S. president as a “quack apothecary” for hyping unproven cures",https://www.huffpost.com/entry/kevin-rudd-donald-trump-coronavirus-handling_n_5eb3d30dc5b6526942a266d1,1,HuffPost,trump-presidency,1,Somewhat factual but also opinionated,"['ripped', 'botched']",SxFFNL8GR44tD4gU3Dwdcg,"Former Australian prime minister Kevin Rudd criticized President Trump's mismanagement of the COVID-19 crisis by calling him an ""unqualified quack"" who was promoting false treatments that were not backed up with scientific",1,left,negative,0.79114175,negative,0.8544458,Biased,0.9952352643013,Biased,0.9942428469657898
"Tuesday on Hill.TV, 2020 Democratic presidential candidate Marianne Williamson declared President Donald Trump has become a “megaphone” for white nationalism.",https://www.breitbart.com/clips/2019/07/30/marianne-williamson-trump-is-a-megaphone-for-white-nationalism-in-the-united-states/,0,Breitbart,white-nationalism,0,Somewhat factual but also opinionated,[],h7kuhwyjknoDND9uC56DB9,"On Tuesday, Democrat presidential hopeful Marianne Williamson said that US President Donald Trump had become a megaphone for white supremacists.",1,left,neutral,0.62435913,negative,0.7629926,Non-biased,0.5602015256881714,Biased,0.6964343190193176
"Extremists on the far right are deeply troubled by the name Black Lives Matter, viewing it as an assertion that white lives don’t matter — which, of course, it isn’t.",https://www.alternet.org/2020/06/historian-explains-the-bizarre-racist-theory-behind-the-far-rights-hysteria-over-the-george-floyd-protests/,1,Alternet,black lives matter,1,Expresses writer’s opinion,['assertion'],CNWuE7FonsPTBW66LTJkrV,"The phrase ""Black Lives Matter"" is not a statement about whether or not other people's lives also matter; rather, it refers specifically to black Americans who face disproportionate violence at the hands of police officers in this country.",0,right,negative,0.79994273,negative,0.75491405,Biased,0.6556820869445801,Biased,0.9876605272293091
"The Obama-era memoranda directed the FSA to shift its focus from collecting student debt to assisting student borrowers in debt management, even to the extent of allowing them to default on their loans. ",https://www.breitbart.com/politics/2017/04/12/ed-secretary-betsy-devos-rolls-back-obama-protections-for-student-loan-defaulters/,0,Breitbart,student-debt,0,Entirely factual,[],BquFm6TKnCgjr9zgjC23GH,"The Obama administration's memorandum instructed the Federal Student Aid (FSA) office to change its priorities away from loan collection towards helping students manage their debts, including letting some go into default.",0,right,neutral,0.6120487,neutral,0.63216174,Non-biased,0.9242220520973206,Biased,0.7144773602485657
"As dear leader Mitch McConnell (R-Ky.) is fond of saying, “winners make policy, losers go home.” And yet unfortunately, Republicans in the Senate refuse to take the phrase to heart. Which is a real shame. We are just under 280 days into the Trump presidency, yet beyond nominations, Congress has made almost no progress passing the agenda America elected them to enact.",https://thehill.com/opinion/white-house/357585-losers-gonna-flake-because-winners-make-policy-and-whiners-go-home,1,Breitbart,trump-presidency,0,Expresses writer’s opinion,"['shame', 'dear']",EvctyqDKRKMVHmcq3kM7o8,As Republican Majority Leader Mitch McConnell (R-KY) is,0,right,negative,0.8395245,neutral,0.9400331,Biased,0.9313766956329346,Biased,0.9885438084602356
"There can be no serious discussion of this issue, however, in 60-second sound bites. So, beyond the soak-the-rich shtick that shades every Democratic economic debate point, the candidates resorted to two tactics: shock and sob stories.",https://thefederalist.com/2019/08/15/student-debt-willingly-took-not-problem-solve/,1,Federalist,student-debt,0,Expresses writer’s opinion,"['soak-the-rich', 'shtick', 'shock', 'sob', 'stories']",Pu6BX5HAt6xfCcQywkAyhM,"There is no room for a serious discussion on this topic within the time constraints imposed by television networks. Instead, Democrats resort to two strategies: using scare tactics (“soaking”) or emotional appeals (",0,right,negative,0.81636006,negative,0.8148675,Biased,0.628587007522583,Biased,0.8512121438980103
Further biased editing on the page included a section on “reports of extremist activities” focusing on largely dubious claims of “far-right” involvement in violence and rioting.,http://feedproxy.google.com/~r/breitbart/~3/JEzbJwSAFXk/,1,Breitbart,black lives matter,0,Somewhat factual but also opinionated,"['dubious', 'claims', 'largely']",ouNaUzrvPDAkjPScboMbqR,"The article further contained a section that focused on reports of ""extremism"" including allegations of far right involvment in violent protests.",0,right,negative,0.7335212,negative,0.5192144,Non-biased,0.9270869493484497,Biased,0.8006715178489685
