Original Text,Debiased Text,roberta_debiased_prediction,roberta_debiased_label,original_sentiment,original_sentiment_score,debiased_sentiment,debiased_sentiment_score,original_bias_label,original_bias_score,debiased_bias_label,debiased_bias_score
"Jurek, a Sanders staffer in Iowa, was caught arguing that gulags were beneficial for the Soviet Union and suggesting they could be used to re-educate both Trump voters and billionaires.","Jurek,  Sanders staffer  Iowa, was caught arguing that gulags were beneficial   Soviet Union and suggesting they could be used  re-educate both young voters and billionaires.",0,right,neutral,0.5682787,neutral,0.62407535,Biased,0.563772976398468,Biased,0.5713894963264465
"Also, Biden told a New Hampshire audience in February that PLCAA gave gun makers “a loophole that does not allow them to be sued for the carnage they are creating,” Breitbart News reported.","Also, Biden told  New Hampshire audience  February that PLCAA gave  makers “ loophole that does  allow them  be sued   because they are creating,” Breitbart News reported.",0,right,neutral,0.4985376,neutral,0.6750764,Biased,0.9587647914886475,Biased,0.9658584594726562
"But the new restrictions on H-2A visas could leave West Coast farmers in the lurch just as they are preparing to harvest lettuce, cabbage, broccoli, celery and strawberries, said Dave Puglia, president and CEO of the Western Growers Association.","But   restrictions  H-2A visas could  West Coast farmers   lurch just as they are preparing  harvest lettuce, cabbage, broccoli, celery and strawberries, said Dave Puglia, president and CEO  of Western Growers Association.",2,center,negative,0.5398895,neutral,0.68909305,Non-biased,0.9132885932922363,Non-biased,0.7633556127548218
"But while they have claimed that Obamacare is a burden for the country, there's a good reason why they haven't had enough political will to tear it down through Congress.","But while they have  that Obamacare is  burden   country, there's   reason why they haven't had enough  will  tear it  from Congress.",0,right,negative,0.6373061,negative,0.68747044,Non-biased,0.5940069556236267,Biased,0.5317821502685547
"Now Modi has made international headlines for yet another similarity: He’s constructing a massive wall … but unlike Trump’s goal of keeping immigrants out, Modi’s wall was built to hide the country’s poverty from the gold-plated American president.","Now Modi   international headlines  yet  similarity: He’s constructing    … but unlike Trump’s goal  keeping immigrants out, Modi’s  was built  hide  country’s poverty   stricken American president.",1,left,negative,0.48526803,negative,0.4873697,Biased,0.9836310148239136,Biased,0.9812266826629639
"In Heller, the Supreme Court struck down a ban on handgun possession in the nation’s capital, ruling for the first time that the Second Amendment protects an individual right to gun ownership.","In Heller,  Supreme Court      handgun possession   nation’s capital, ruling   first time that  Second Amendment protects an individual   from ownership.",1,left,neutral,0.8385837,neutral,0.86577696,Non-biased,0.5752246379852295,Biased,0.6370236873626709
"Despite Portman’s insistence that she has tried to advance female directors, only one of her feature films was directed by a female.","Despite Portman’s insistence that she  tried  advance  directors, only one  her feature films was directed by  him.",0,right,neutral,0.8327001,neutral,0.74796164,Biased,0.7286211848258972,Biased,0.5964429974555969
"Should China be the first country to develop an effective vaccine, dictator Xi Jinping has promised to provide the world with “free” coronavirus vaccines paid for by Beijing. ","Should China be  first country  develop an effective vaccine,  Xi Jinping  promised  provide  world  “free”  vaccines paid for by Beijing. ",2,center,neutral,0.6490181,neutral,0.6625468,Biased,0.5909836888313293,Biased,0.5446501970291138
"It was not stingy family leave policies that had this baby killed, it was the child’s mother, encouraged and enabled by a culture and legal regime that regard babies as a capstone consumer commodity to be ordered up when convenient, and violently disposed of when inconvenient.","It was   family  policies that had this  killed, it was  child’s mother, encouraged and enabled by   and legal regime that regard babies as  capstone consumer commodity  be ordered  when convenient, and  disposed of when inconvenient.",0,right,negative,0.8661487,negative,0.73687863,Biased,0.9952282905578613,Biased,0.9951311349868774
There's a dollop of cream on top of the shit sandwich that is the Trump-backed lawsuit in front of the Supreme Court to overturn the Affordable Care Act (ACA). ,There's  dollop  cream  top   shit sandwich that is  Trump-backed lawsuit  front   Supreme Court  overturn  Affordable Care act (ACA). ,1,left,negative,0.8136951,negative,0.764484,Non-biased,0.7077533602714539,Non-biased,0.6324217915534973
But the British Government — and this one’s Conservative; imagine what a Labour one would be like! — is so wedded to green ideology and so nervous of the well-funded anti-fracking campaign industry that it has imposed such extreme precautionary principles on shale gas exploration that the fracking industry has effectively been strangled at birth with red tape.,But  British Government — and this one’s Conservative;  what  Labour one would be like! — is  wedded    and     well-funded anti-fracking campaign industry that it  imposed such  precautionary principles  shale gas exploration that  fracking industry  effectively been strangled at birth  by tape.,0,right,negative,0.74144816,negative,0.5164847,Biased,0.975519597530365,Biased,0.7753217816352844
Most are fleeing endemic poverty and increasing rates of gang violence.,Most are  endemic poverty and increasing rates of gang violence.,1,left,negative,0.75043607,negative,0.866445,Non-biased,0.8212319612503052,Non-biased,0.6822706460952759
"During a speech to Young America’s Foundation’s 41st annual National Conservative Student Conference, Hawley slammed the “reigning consensus” of Washington, D.C.’s ruling class that asserts free trade and endless immigration are vital to meet the needs of corporate leaders, the business lobby, and the donor class while ignoring its impact on middle-class Americans.","During  speech  Young America’s Foundation’s 41st annual National Conservative Student Conference, Hawley   “reigning consensus”  Washington, D.C.’s ruling  that asserts free trade and  immigration are vital  meet  needs  corporate leaders,  business lobby, and  donor  while ignoring  impact  middle-class Americans.",0,right,negative,0.51772565,neutral,0.67008275,Biased,0.9881405830383301,Biased,0.9877660274505615
"Oh, and Azar put on his best hyper-partisan hat to assure America that if the Trump administration and his Republican Party succeed in convincing the Supreme Court to wipe ""Obamacare"" from the books, then for sure, this time, then present a Republican plan to ""protect those with preexisting conditions"" with new legislation that hasn't been written, that Azar would not describe, with ""exact details"" that do not yet exist.","Oh, and Azar put   best hyper-partisan hat  assure America that if   administration and  Republican Party succeed  convincing  Supreme Court  wipe ""Obamacare""   books, then  sure, this time, then present  Republican plan  ""protect those  preexisting conditions""   legislation that hasn't been written, that Azar would  describe,  ""exact details"" that  may yet exist.",1,left,neutral,0.56287104,neutral,0.615015,Biased,0.9025901556015015,Biased,0.9677844047546387
Hawaii eyes even stricter gun laws in wake of shooting that killed 2 police officers,Hawaii eyes  stricter  laws  wake up shooting that killed 2 police officers,2,center,negative,0.74196965,negative,0.7741362,Non-biased,0.6324952244758606,Non-biased,0.6528582572937012
The number of April background checks to purchase a firearm showed Americans flocking to gun stores in high numbers for the second month in a row amid worries about the coronavirus pandemic.,The number  April background checks  purchase  firearm showed Americans flocking   stores  high numbers    month   row amid worries about  a pandemic.,2,center,neutral,0.5116229,neutral,0.54560554,Biased,0.9869847893714905,Biased,0.9886389970779419
"Democracy probably cannot survive, after all, if one of our two major political parties is indifferent to its fate.","Democracy probably cannot survive, after all, if one  our two major  parties is indifferent  to fate.",0,right,negative,0.89785856,negative,0.832419,Non-biased,0.929260790348053,Non-biased,0.9221194982528687
"Despite Democrats regularly characterizing America as socially pathologized with anti-woman “sexism” and “misogyny” — where women face greater cultural, economic, political, and social adversities relative to men — Warren framed her sex as a political asset in comparison to her male competitors for the Democrats’ presidential nomination to defeat President Donald Trump in November’s general election.","Despite Democrats regularly characterizing America as socially pathologized  anti-woman “sexism” and “misogyny” — where women face greater cultural, economic, , and social adversities relative   — Warren framed her sex as   asset  comparison  her male competitors   Democrats’ presidential nomination  defeat President Donald  trump November’s general election.",0,right,negative,0.60759526,negative,0.5600248,Biased,0.9896246790885925,Biased,0.9885513782501221
"Given the potential enormous risks of destabilizing the region, the Trump administration needed a strong justification for launching the strike that killed revered Iranian military leader Qassim Suleimani.","Given  potential  risks  destabilizing  region,   administration needed  strong justification  launching a strike that killed revered Iranian military leader Qassim Suleimani.",1,left,negative,0.6826865,negative,0.7402426,Non-biased,0.7296384572982788,Non-biased,0.6778697371482849
"The Bezos Earth Fund may help shepherd along some new technologies, but billionaire philanthropy will not alter the regulatory structure that created the problem in the first place.","The Bezos Earth Fund  help shepherd along some  technologies, but billionaire philanthropy will  alter  regulatory structure that created  problem  in first place.",1,left,neutral,0.58902276,neutral,0.54474425,Biased,0.990856945514679,Biased,0.9918082356452942
"President Donald Trump said Monday that he is looking at a possible payroll tax cut, along with other measures, to help American workers and boost the economy, which has been hit hard by the coronavirus outbreak.","President Donald  said Monday that he is looking at  possible payroll tax cut, along  other measures,  help American workers and   economy, which  been hit  by  the outbreak.",2,center,neutral,0.514938,neutral,0.55154955,Non-biased,0.7314632534980774,Non-biased,0.7231786847114563
Lots of politicians and critics across the board have attacked the Green New Deal proposed last week by freshman Democrats Rep. Alexandria Ocasio-Cortez of New York and Sen. Ed Markey of Massachusetts.,Lots  politicians and critics across  board have   Green New Deal proposed last week by freshman Democrats Rep. Alexandria Ocasio-Cortez  New York and Sen. Ed Markey of Massachusetts.,0,right,negative,0.5848078,neutral,0.8263258,Biased,0.5839714407920837,Biased,0.591571033000946
The sharp reductions documented in carbon emissions and air pollution caused by coronavirus-related lockdowns have offered a sort of preview of the kind of improvements that can be made when drastic action is taken.,The sharp reductions documented  carbon emissions and air pollution caused by coronavirus-related lockdowns have offered  sort  preview   kind  improvements that can be  when drastic action is taken.,1,left,neutral,0.48989946,neutral,0.5170102,Non-biased,0.6252532005310059,Non-biased,0.6228422522544861
"This is how Warren has pushed the boundaries of progressive policy since coming to Washington. Instead of relying on the traditional D.C. think tank world, she made her office into her very own think tank.","This is how Warren  pushed  boundaries  progressive policy since coming  Washington. Instead  relying   traditional D.C. think tank world, she turned her office into her very own think tank.",0,right,neutral,0.5588724,neutral,0.645415,Biased,0.9874866008758545,Biased,0.9834648370742798
"Coach Guerrier adds that the referee’s continued mid-game scrutiny ultimately made “a spectacle” of her daughter, and that he continued to insist that something would have to be done as the child grows up and continues to compete in the sport.","Coach Guerrier adds that  referee’s continued mid-game scrutiny ultimately  “a spectacle”  her daughter, and that he continued  insist that something would have  be done as  child grows  and continues  compete  in sport.",1,left,neutral,0.7507692,neutral,0.78081155,Biased,0.5298790335655212,Biased,0.5753024220466614
"Former Australia Prime Minister Kevin Rudd ripped Donald Trump’s botched handling of the coronavirus pandemic in a new op-ed, describing the U.S. president as a “quack apothecary” for hyping unproven cures","Former Australia Prime Minister Kevin Rudd  Donald Trump’s botched handling        op-ed, describing  U.S. president as  “quack apothecary” "" hyping unproven cures",1,left,negative,0.79114175,negative,0.69849074,Biased,0.9952352643013,Biased,0.9953610301017761
"Tuesday on Hill.TV, 2020 Democratic presidential candidate Marianne Williamson declared President Donald Trump has become a “megaphone” for white nationalism.","Tuesday  Hill.TV, 2020 Democratic presidential candidate Marianne Williamson declared President Donald   become  “megaphone”  american nationalism.",0,right,neutral,0.62435913,neutral,0.77719265,Non-biased,0.5602015256881714,Biased,0.5132009983062744
"Extremists on the far right are deeply troubled by the name Black Lives Matter, viewing it as an assertion that white lives don’t matter — which, of course, it isn’t.","Extremists   far  are deeply troubled by  name  Lives Matter, viewing it as an  that  lives don’t matter — which, of course, it isn’t.",0,right,negative,0.79994273,negative,0.8112122,Biased,0.6556820869445801,Biased,0.959726870059967
"The Obama-era memoranda directed the FSA to shift its focus from collecting student debt to assisting student borrowers in debt management, even to the extent of allowing them to default on their loans. ","The Obama-era memoranda directed  FSA  shift  focus  collecting student debt  assisting student borrowers  debt management,    extent  allowing them  default  on loans. ",2,center,neutral,0.6120487,neutral,0.60227156,Non-biased,0.9242220520973206,Non-biased,0.9174649715423584
"As dear leader Mitch McConnell (R-Ky.) is fond of saying, “winners make policy, losers go home.” And yet unfortunately, Republicans in the Senate refuse to take the phrase to heart. Which is a real shame. We are just under 280 days into the Trump presidency, yet beyond nominations, Congress has made almost no progress passing the agenda America elected them to enact.","As dear leader Mitch McConnell (R-Ky.) is fond  saying, “winners make policy,  go home.” And yet unfortunately, Republicans   Senate refuse  take  phrase  heart. Which is  real shame. We are just under 280 days into   presidency, yet beyond nominations, Congress   almost no progress passing  agenda America elected them to enact.",1,left,negative,0.8395245,negative,0.79589015,Biased,0.9313766956329346,Biased,0.9618300199508667
"There can be no serious discussion of this issue, however, in 60-second sound bites. So, beyond the soak-the-rich shtick that shades every Democratic economic debate point, the candidates resorted to two tactics: shock and sob stories.","There can be no serious discussion  this issue, however,  60-second sound bites. So, beyond  soak--rich shtick that shades every Democratic economic debate point,  candidates resorted  two tactics: shock and flash stories.",0,right,negative,0.81636006,negative,0.62673587,Biased,0.628587007522583,Biased,0.9365416169166565
Further biased editing on the page included a section on “reports of extremist activities” focusing on largely dubious claims of “far-right” involvement in violence and rioting.,Further biased editing   page included  section  “reports  extremist activities” focusing      “far-right” involvement in violence and rioting.,1,left,negative,0.7335212,negative,0.6829444,Non-biased,0.9270869493484497,Non-biased,0.9047229290008545
"It's perverse that any other governor would follow Abbott's lead, for he presides over a health care disaster.","It's perverse that any other governor would follow Abbott's lead,  he presides over every health care disaster.",1,left,negative,0.8871012,negative,0.8443362,Non-biased,0.6166872382164001,Non-biased,0.527387797832489
"They gobble down internet conspiracy theories like QAnon, which creates engagement with right-wing politics for those who aren't religious conservatives or business elites. ","They gobble  internet   like QAnon, which creates engagement   politics for those who aren't religious conservatives or business elites. ",0,right,negative,0.5273786,negative,0.5419726,Biased,0.6043882369995117,Biased,0.6189595460891724
"Democrat Stacey Abrams, who lost the 2018 gubernatorial election in Georgia and now runs a voters right organization, praised South Korea’s recent vote-by-mail election at the hearing.","Democrat Stacey Abrams, who   2018 gubernatorial election  Georgia and now runs  voters  organization,  South Korea’s recent vote-by-mail election at a hearing.",2,center,neutral,0.64220375,neutral,0.91403246,Non-biased,0.9340522885322571,Non-biased,0.9499985575675964
"White House Press Secretary Kayleigh McEnany voiced tepid support for Defense Secretary Mark Esper, after he stated Wednesday that he did not support invoking the Insurrection Act, which would allow active-duty troops to act in domestic law enforcement roles.","White House Press Secretary Kayleigh McEnany voiced  support  Defense Secretary Mark Esper, after he stated Wednesday that he did  support invoking  Insurrection Act, which would allow active-duty troops  act as domestic law enforcement roles.",0,right,neutral,0.7563141,neutral,0.5640281,Non-biased,0.675848662853241,Non-biased,0.5771470069885254
Proponents of these vaccines twist the Vatican’s words to sound like approval: The use of such vaccines...,Proponents  these vaccines twist  Vatican’s   sound like approval: The use of such vaccines...,1,left,negative,0.52979434,negative,0.49363378,Biased,0.7923199534416199,Biased,0.7781752943992615
It’s a mafia state. There’s no control. There’s no regulation. The system is full of legalized bribery. The electoral process is corrupt as well. The courts are stacked with right-wing ideologues.,It’s   state. There’s no control. There’s no regulation. The system is full  legalized bribery. The electoral process is  as well. The courts are stacked  with ideologues.,1,left,negative,0.94513416,negative,0.75067204,Biased,0.5346651673316956,Biased,0.6565614342689514
"After winning his 15th major championship, the legendary golfer Tiger Woods got a chance to laugh at all who doubted him.","After winning  15th major championship,  legendary golfer Tiger Woods got  chance to laugh at all who doubted him.",1,left,positive,0.64722246,positive,0.56253767,Non-biased,0.6365405917167664,Non-biased,0.5653190016746521
"In practice, the U.S. quietly provides health care to at least ten million illegal migrants who are in the United States, while also erecting tough physical and legal barriers to the arrival of yet more illegal aliens.","In practice,  U.S. quietly provides health care  at least ten million  migrants who are   United States, while also erecting  physical and legal barriers   arrival  yet  arriving aliens.",0,right,neutral,0.5871217,neutral,0.70589006,Non-biased,0.6908941268920898,Biased,0.5021589398384094
"In these times of left-wing mobs filling the streets, assaulting civilians and police officers, destroying property with apparent impunity, flagrantly defying coronavirus social distancing rules, and even seceding from the Union, one of the few consolations for conservatives is the notion that gun rights appear to be safe for a generation to come. ","In these times    filling  streets, assaulting civilians and police officers,  property   impunity,  defying  social distancing rules, and  seceding   Union, one   few consolations  conservatives is  notion that  rights appear  be safe   generation to come. ",1,left,negative,0.8294497,negative,0.4978841,Biased,0.8738557696342468,Biased,0.9464715123176575
"After tremendous pressure on the Department of Homeland Security, Miller is advancing his agenda of not just blocking migrants from entering the country illegally, but making life in the U.S. so unbearable for legal immigrants that they leave the country.","After  pressure   Department  Homeland Security, Miller is advancing  agenda   just blocking migrants  entering  country illegally, but making life   U.S.  unbearable  legal immigrants that they  enter country.",1,left,negative,0.7812187,negative,0.5922007,Non-biased,0.5937686562538147,Non-biased,0.6357465982437134
"An illegal alien has been charged with enticing a 13-year-old girl through social media and raping her in Madison County, Alabama.","An    been charged  enticing  13-year-old girl  social  and raping her in Madison County, Alabama.",0,right,negative,0.88445956,negative,0.6932054,Biased,0.6249715685844421,Biased,0.7726954221725464
"Of course, social distancing will be inconceivable for football players and the results all too predictable in a world in which Covid-19 is likely to hang around for a long, long time. ","Of course, social distancing will be inconceivable  football players and  results all too    world  which Covid-19 is likely  hang around  a long, long time. ",1,left,negative,0.6350682,neutral,0.50321734,Biased,0.9610670208930969,Biased,0.9643281698226929
The legislation ends criminal penalties for self-abortion and – in the case of an unborn baby who is the victim of a homicide – defines “person” as “a human being who has been born and is alive.”,The legislation ends criminal penalties  self-abortion and –   case  an unborn  who is  victim   homicide – defines “person” as “  being who has been born and is alive.”,0,right,neutral,0.535777,neutral,0.58206433,Biased,0.9525133371353149,Biased,0.9179800152778625
"Yet when researchers in the U.S. have been so corrupt they have gone to jail, mainstream scientists still accept their research.","Yet when researchers   U.S. have been   they have gone  jail, mainstream scientists still accept their research.",0,right,negative,0.8602519,neutral,0.499144,Biased,0.9193003177642822,Biased,0.5011082291603088
"Specifically, Republicans–as they have demonstrated for three consecutive legislative days–intend to push for a floor vote against Democrat Speaker Nancy Pelosi’s wishes on a piece of legislation from Rep. Ann Wagner (R-MO) that would ensure babies who are born alive following an abortion attempt are given the same medical treatment and care any other newborn baby would receive.","Specifically, Republicans–as they have demonstrated  three consecutive legislative days–intend  push    vote against Democrat Speaker Nancy Pelosi’s wishes   piece  legislation  Rep. Ann Wagner (R-MO) that would ensure babies who are born alive following an   are given  same medical treatment and care any other newborn ##s would receive.",0,right,neutral,0.6678168,neutral,0.6943608,Non-biased,0.9110389351844788,Non-biased,0.9141528010368347
"Everywhere he went on Monday, Trump was greeted by thousands of cheering Indian citizens, troops of traditional dancers and roadways lined with posters and billboards celebrating his visit.","Everywhere he went  Monday,  was greeted by   cheering Indian citizens, troops  traditional dancers and roadways lined  posters and billboards celebrating his visit.",2,center,positive,0.88346,positive,0.8687956,Non-biased,0.5558144450187683,Non-biased,0.5608558654785156
As congressional Republicans unsuccessfully voted to defund the ACA more than 50 times he went on the warpath against an obscure portion of the law meant to safeguard participating insurance companies against crippling financial loss as a result of the new requirement to cover clients with pre-existing conditions.,As congressional Republicans unsuccessfully voted  defund  ACA  than 50 times he went   warpath against an  portion   law meant  safeguard participating insurance companies against crippling  loss as  result    requirement  cover clients under pre-existing conditions.,1,left,negative,0.66317385,negative,0.6115415,Non-biased,0.5786631107330322,Non-biased,0.8137986660003662
Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.,Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.,0,right,negative,0.9072736,negative,0.9072736,Biased,0.6256999373435974,Biased,0.6256999373435974
"This institutionalised incompetence and sclerosis may well explain why Britain has plummeted to the bottom quarter of Organisation for Economic Co-operation and Development (OECD) countries for Covid-19 diagnostic testing, per capita.","This institutionalised  and sclerosis  well explain why Britain  plummeted   bottom quarter  Organisation  Economic Co-operation and Development (OECD) countries using Covid-19 diagnostic testing, per capita.",0,right,negative,0.8950757,negative,0.6068029,Biased,0.9826899766921997,Biased,0.9678153395652771
Perhaps that is why both Warren and Sanders have gone out of their way to hammer home the fact that their proposals would only affect the wealthiest Americans.,Perhaps that is why both Warren and Sanders have gone    way  hammer home  fact that  proposals would only affect the wealthiest Americans.,0,right,neutral,0.5771706,neutral,0.5543498,Non-biased,0.81827312707901,Non-biased,0.6946917772293091
"On top of the enormous financial impact, these beauty regimens require these women to take the time out of their busy schedules to attend to their appearances in a way that men in power are spared. ","On top     impact, these beauty regimens require these women  take  time    busy schedules  attend   appearances   way that  their power are spared. ",1,left,neutral,0.6335297,neutral,0.56875366,Non-biased,0.8768419027328491,Non-biased,0.8087478876113892
"Sanders praises the radical Green New Deal, champions a Medicare for All plan with a $34 trillion price tag, nods to abortion as a means of population control, and defends bread lines and Fidel Castro’s Cuba. ","Sanders praises   Green New Deal, champions  Medicare  All plan   $34 trillion price tag, nods   as  means of population control, and defends bread lines and Fidel Castro’s Cuba. ",0,right,neutral,0.5426463,positive,0.49452537,Biased,0.6820458769798279,Non-biased,0.7001051306724548
"Since Roe v. Wade, when the Supreme Court recognized the constitutional right to an abortion, state lawmakers have devised novel ways to cut off access to the procedure without banning it outright. One strategy is to require clinics and doctors to comply with an ever-expanding list of regulations, with the goal of essentially red-taping providers out of business.","Since Roe v. Wade, when  Supreme Court recognized  constitutional   an abortion,  lawmakers have devised novel ways  cut  access   procedure  banning it outright. One strategy is  require clinics and   comply  an ever-expanding list  regulations,   goal  essentially red-taping providers  ' business.",1,left,neutral,0.61493665,neutral,0.6149404,Biased,0.9950951337814331,Biased,0.9947971701622009
"Democrat presidential candidate Joe Biden urged members of the U.S. Women’s National Soccer team to keep fighting for equal pay, after a judge threw out their lawsuit claiming discrimination.","Democrat presidential candidate Joe Biden urged members   U.S. Women’s National Soccer team  keep fighting  equal pay, after  judge threw   lawsuit for discrimination.",2,center,neutral,0.7418687,neutral,0.75207406,Non-biased,0.9075954556465149,Non-biased,0.8825640678405762
"Despite a pandemic, one-sided presidential nomination contests, and nationwide protests about police violence and racial equality, the primaries were important — and instructive. ","Despite  pandemic, one-sided presidential nomination contests, and nationwide protests about police violence and  equality, the primaries were important — and instructive. ",1,left,neutral,0.459835,neutral,0.47735566,Non-biased,0.5340800285339355,Biased,0.8351017832756042
Officials at Dartmouth College looked the other way this week when a group of leftist student activists disrupted classes to bring attention to their support for the Green New Deal.,Officials at Dartmouth College looked  other way this week when  group   student activists disrupted classes  bring attention   support  for Green New Deal.,0,right,neutral,0.6501281,neutral,0.5499768,Non-biased,0.5256299376487732,Biased,0.5001097917556763
"A professor who teaches climate change classes — a subject some would question as a legitimate area of study — said she has seen students who suffer fear, grief, stress, and anxiety about the future.","A professor who teaches climate change classes —  subject some would question as  legitimate area  study — said she  seen students who suffer fear, grief, stress, and anxiety about the future.",1,left,negative,0.70317644,negative,0.66695017,Non-biased,0.8791373372077942,Non-biased,0.7884892225265503
"Polling throughout the Democratic primary showed Sanders triumphing with young voters by massive margins, and early polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees.","Polling throughout  Democratic primary showed Sanders triumphing  young voters by  margins, and early polling   general election  shown Biden running weaker among younger voters than past Democratic nominees.",2,center,neutral,0.63134277,neutral,0.602543,Biased,0.9894787669181824,Biased,0.990475594997406
Brooklyn measles outbreak: How a glossy booklet spread anti-vaccine messages in Orthodox Jewish communities,Brooklyn measles outbreak: How   booklet spread anti-vaccine messages in Orthodox Jewish communities,1,left,negative,0.692233,negative,0.6807243,Biased,0.5417957305908203,Biased,0.7060811519622803
"To the extent the Times created space for explanations, it was for claims that the protests had begun peacefully.","To  extent  Times created space  explanations, it was   that the protests had begun peacefully.",0,right,neutral,0.816301,neutral,0.7868361,Non-biased,0.6279349327087402,Non-biased,0.531176745891571
